580,Министерство по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий,79313,815,93770,1325,-1,-1,158170,326,107641,277,133185,391,224675,182,182444,388,213507,347,68,169,86,3.04
594,Министерство иностранных дел ,217080,8,238503,6,278682,18,220894,12,191122,10,203091,9,-1,-1,224228,10,200776,8,68,-7,-7,1.63
595,Министерство юстиции ,55007,285,58168,332,102922,306,114356,324,116442,328,124106,321,124466,317,132274,312,138951,297,68,152,157,1.75
599,Министерство природных ресурсов и экологии ,67654,150,72908,289,97491,336,119617,240,115802,238,119830,225,129602,235,117706,220,153345,230,68,126,170,1.7
600,Министерство промышленности и торговли ,49707,606,53220,583,150354,108,128946,340,104907,327,112175,290,120747,288,136364,313,208218,485,68,318,268,1.16
601,Министерство цифрового развития, связи и массовых коммуникаций,64682,73,43838,53,98299,227,113990,198,99634,194,101379,197,102938,193,117433,165,187847,93,68,190,226,1.34
602,Министерство регионального развития,70588,397,48000,127,80594,252,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,14,-11,1.3
603,Министерство экономического развития,95263,900,96728,955,180115,367,156802,718,176334,784,172930,808,183329,910,148895,555,158616,480,68,66,6,1.73
604,Министерство финансов ,-1,-1,-1,-1,109654,548,161501,282,186901,269,188050,515,175364,599,189440,607,227114,301,35,107,46,2.74
605,Министерство транспорта,81574,126,88863,115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,170932,137,68,109,120,1.22
606,Министерство спорта ,74217,130,56026,252,111204,223,129833,299,134640,277,132295,268,136261,280,162631,250,191097,225,68,157,222,1.8
607,Министерство сельского хозяйства ,43147,550,91251,607,80274,1469,87327,1415,86302,1726,90886,1252,92121,1371,97526,1361,100687,1158,68,133,284,1.24
860,Территориальное управление Федеральной службы по аккредитации Приволжский федеральный округ,-1,-1,43834,4,-1,-1,42827,11,31633,12,30361,14,31019,17,30276,16,34770,12,26,-18,-17,3.62
861,Территориальное управление Федеральной службы по аккредитации Сибирский федеральный округ,-1,-1,33391,4,41295,7,51356,7,38647,12,48244,13,44423,10,266111,1,43698,14,35,5,42,2.57
862,Территориальное управление Федеральной службы по аккредитации Северо-Западный федеральный округ,-1,-1,181550,1,-1,-1,47141,6,31504,9,36659,11,28979,9,20913,1,-1,-1,14,-38,-24,2.79
863,Территориальное управление Федеральной службы по аккредитации Дальневосточный федеральный округ,-1,-1,-1,-1,-1,-1,-1,-1,34617,3,48118,6,37527,4,52846,4,56092,6,13,16,16,6.83
