Id	Name	2011	|2011|	2012	|2012|	2013	|2013|	2014	|2014|	2015	|2015|	2016	|2016|	2017	|2017|	2018	|2018|	2019	|2019|	2020	|2020|	Q1	PI	D1	V2	|V2|
1464	Павловский район	398297.0	50	433705.0	52	441530.5	112	504247	109	528040	83	612387.0	82	685666	83	706947.0	72	700435.5	68	738871.0	66	1,71	73	85	1,8	537
1465	Панинский район	-1	0	267482	31	383030	27	392967.5	28	431105.5	44	536100	39	601198	35	662177.0	32	757038.5	34	875219.0	36	2,02	55	227	2,0	215
1466	Петропавловский район	-1	0	307650	59	404800.5	52	306314.0	36	461636.5	68	432695.0	66	437307	57	517046	69	590646.0	60	618914.0	66	1,43	55	101	1,2	363
1467	Поворинский район	-1	0	-1	0	-1	0	-1	0	525013.0	18	619887	19	570022.0	48	624771.0	50	638353.0	46	720315	29	1,66	19	37	2,17	135
1468	Подгоренский район	450863.5	14	363034	69	421285	39	502361.5	74	504585.0	76	499104.5	102	492825	73	577415	67	590888.0	68	712354.0	50	1,65	73	57	0,7	385
1469	Рамонский район	-1	0	357905.0	68	442077.0	80	460066	79	506995	75	538384	71	520539.5	56	598267.5	74	577267.5	76	745407.5	78	1,72	55	108	1,7	456
1470	Репьевский район	-1	0	242704	27	359419.0	46	405555	57	518575.5	36	511679	39	461465.5	48	618946.0	60	660855	63	633443.0	52	1,46	55	160	1,9	292
1471	Россошанский район	735001	11	408576.0	92	483353	95	516582.5	96	578196	115	585472.0	96	556274.5	94	634375	93	622890	93	696905.0	102	1,61	73	-5	1,17	696
1472	Семилукский район	344363	43	432793.5	74	491235.5	74	573803.0	64	553054	93	575406.0	92	582793	91	648554	91	637410	93	714120.5	92	1,65	73	107	1,0	578
1473	Таловский район	328450	25	402000.5	66	458047	39	-1	0	-1	0	-1	0	-1	0	-1	0	618808	83	683999.5	76	1,58	73	108	3,5	114
1474	Терновский район	-1	0	329240.5	74	389349.5	84	477781	45	481814.0	56	529907	47	526186.5	50	540330	47	525507	43	593476	45	1,37	55	80	2,0	303
1475	Хохольский район	202834.5	76	255763	83	291125.5	54	415662	27	448194.5	48	431597.0	54	484461	49	616470.5	84	621308	79	754016.0	76	1,74	73	271	1,05	406
1476	Эртильский район	301828.5	58	335008.0	90	329854.5	88	463898	69	600504.5	40	513419	97	610618.0	38	486126	79	564084	61	600915.5	62	1,39	73	99	1,3	406
1478	Химки - городской округ	-1	0	933691.5	124	842539.0	368	852108	377	1089801	239	1418732.0	306	1204400	285	1490500	187	1436384.0	254	1996800.5	124	4,61	55	113	3,0	1073
1479	Волоколамский - городской округ	450746.0	106	563978.0	158	624945	153	582933.0	172	694427.0	150	857058	135	897088.5	178	864554	151	1001487.5	136	826316.0	128	1,91	73	83	1,5	760
1480	Воскресенск - городской округ	-1	0	-1	0	771084.0	56	787588.0	62	835423	197	861257	187	995851	95	1021584.0	196	1339940.0	192	1395270.0	126	3,22	40	80	1,73	566
1481	Дмитровский - городской округ	532661.0	86	713317	93	688048	245	766809.5	218	852247	237	943379	219	967131.0	274	956443.5	206	1054415	183	1131458.0	8	2,61	73	112	1,5	1138
1482	Егорьевск - городской округ	-1	0	-1	0	-1	0	661117.5	192	716700	203	761823	207	819097	213	960984.5	196	1151121.0	134	1042603	169	2,41	31	57	1,5	875
1483	Зарайск - городской округ	-1	0	-1	0	799729.5	8	1014672.5	14	1061933	11	1140378.5	12	814134	69	992484	29	1320525.0	38	1216351.0	56	2,81	40	52	2,17	107
1484	Истра - городской округ	-1	0	-1	0	-1	0	1053745.5	34	1128867	39	1189266.0	50	1226815.5	56	1037912	57	1344887.0	18	1427824	95	3,3	31	35	0,0	158
1485	Кашира - городской округ	-1	0	1053953	11	674362.0	86	724906	101	777898	135	815860.5	132	894855.0	118	1094161	109	1067465.5	98	1092843.5	88	2,52	55	3	2,0	613
1486	Клин - городской округ	-1	0	758698.0	58	1109577	29	985277.5	38	890328.5	40	898049.0	46	967039.0	42	1046559	83	1328969.5	78	1113282	113	2,57	55	46	1,0	319
1487	Коломенский район	-1	0	619331.0	110	658097.0	108	760764	103	739397.0	106	810151	97	-1	0	-1	0	-1	0	-1	0	2,19	32	30	1,4	353
1488	Красногорск - городской округ	-1	0	-1	0	-1	0	1275129.0	28	1053786.5	114	1031603.0	288	1076695	269	1176889	261	1385859.0	208	1398787.0	210	3,23	31	9	2,0	777
1489	Ленинский - городской округ	-1	0	-1	0	1994932.5	14	1727376	17	1115465	93	1126968	109	1252802	79	1273105.5	120	1291024.5	128	1320864	121	3,05	40	-33	1,33	361
1490	Лотошино - городской округ	-1	0	416547	27	712200.5	26	690820	35	768133	25	766530	27	932625.5	26	831198	29	863988	55	862370.0	66	1,99	55	107	2,0	177
1491	Луховицы - городской округ	-1	0	-1	0	1169547.5	24	634294	99	672509	99	678243.0	144	830140.0	156	890083.0	154	980598.0	150	997173	165	2,3	40	-14	1,5	632
1492	Люберцы - городской округ	-1	0	725262.5	168	781090.0	150	819156.0	154	987031.0	156	1253725	75	1276224.5	92	1351890.5	120	1503348.0	142	1598510	79	3,69	55	120	1,17	734
1493	Можайский - городской округ	819574	21	1083559	25	1123526	23	589253.0	58	1046552.0	40	861907.5	108	1068462	107	965357.5	150	1128033	153	1156395	111	2,67	73	41	2,33	458
1494	Мытищи - городской округ	-1	0	742478.0	64	1007774.5	6	1201429	7	1045193.0	192	1055886.5	338	1165457	277	1210823.5	302	1204069	205	1190139.0	166	2,75	55	60	1,67	767
1495	Наро-Фоминск - городской округ	351933	131	532492	287	530020.5	252	1162916.0	36	1113198.5	82	850122	187	908555	281	999912.0	316	1027387	271	1041261.5	214	2,41	73	195	1,3	1132
1496	Богородский - городской округ	-1	0	1665712	7	969440	11	-1	0	1277774	7	-1	0	-1	0	954197.5	110	1012046	119	1046437.5	108	2,42	55	-37	0,5	113
1497	Одинцовский - городской округ	-1	0	518219	209	-1	0	1197272	115	1292717.5	138	1302318.0	154	1216640	129	1571096	161	1467779.5	368	1566015	257	3,62	55	202	1,5	765
1498	Озёры - городской округ	-1	0	-1	0	-1	0	-1	0	1123306	25	1039772	13	974081.0	48	1140295.5	40	996230.5	62	-1	0	2,35	16	-11	1,71	58
1499	Ликино-Дулёво - городской округ	-1	0	563881	83	970303	29	940849.0	38	923019	65	987037	65	1110119	61	1013887.5	72	-1	0	-1	0	2,54	43	79	1,37	184
1500	Павловский Посад - городской округ	533503	13	671812	15	686450.0	44	666167.5	124	791943	107	874288	191	906236	133	908315	131	1085449	77	1048010.5	82	2,42	73	96	1,5	574
1501	Подольский район	685243	35	932909	33	867198	43	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	2,81	23	26	1,25	48
1502	Пушкинский - городской округ	-1	0	1041656	31	1063238	27	1051685.5	36	1017505.0	28	1200665	75	1094429.5	28	1185619	37	1097665	95	967393	151	2,23	55	-7	2,0	142
